dateTime,cpuTime,availRamMb,tcpv4TotalConn,tcpV6TotalConn,httpdSize,httpd1Size,httpd1Private,httpd1NPBytes,httpd1Handle,httpd2Size,total1911,established1911,time_wait1911,fin_wait1911,total1912,established1912,time_wait1912,fin_wait1912,total7077,established7077,time_wait7077,fin_wait7077,total7078,established7078,time_wait7078,fin_wait7078 
11/30/2023 12:13:38.396,42.594718038206459,8413,10593,0,4272128,23950876672,24668819456,8056048,66615,0,2,0,0,0,4762,2999,1761,0,1575,12,1561,0,74,66,6,0 
11/30/2023 12:14:38.497,36.738348217713515,8372,10565,0,4272128,23961448448,24678993920,8054992,66605,0,5,2,1,0,4690,2958,1730,0,1529,10,1517,0,76,66,8,0 
11/30/2023 12:15:39.093,33.15518701804455,8323,10572,0,4272128,23962857472,24680374272,8061992,66605,0,2,0,0,0,4754,2967,1785,0,1788,8,1777,0,109,105,2,0 
11/30/2023 12:16:39.784,29.303054378141869,8366,10543,0,4272128,23968120832,24685871104,7976408,66593,0,2,0,0,0,4627,2960,1665,0,1544,12,1530,0,40,36,2,0 
11/30/2023 12:17:39.137,25.935429213813997,8324,10550,0,4272128,23968776192,24686534656,8010536,66613,0,3,0,1,0,4702,2967,1733,0,1523,10,1511,0,38,34,2,0 
11/30/2023 12:18:39.268,53.588707703206339,8173,10573,0,4272128,23979347968,24697266176,7956512,66610,0,2,0,0,0,4693,2964,1727,0,1548,14,1532,0,45,40,3,0 
11/30/2023 12:19:38.551,43.34182659487054,8379,10561,0,4272128,23983517696,24701390848,8015648,66610,0,3,0,1,0,4704,2963,1739,0,1762,14,1746,0,42,36,4,0 
11/30/2023 12:20:39.028,45.428103328164504,8334,10581,0,4272128,23987511296,24705630208,7996832,66613,0,4,0,2,0,4676,2960,1713,1,1589,14,1573,0,79,74,3,0 
11/30/2023 12:21:39.043,34.069066700655107,8321,10558,0,4272128,23996248064,24714588160,8046792,66608,0,3,0,1,0,4648,2978,1668,0,1519,14,1503,0,65,60,3,0 
11/30/2023 12:22:39.438,43.519395270902649,8941,10543,0,4272128,24000946176,24719564800,7957256,66604,0,2,0,0,0,4678,2949,1727,0,1600,12,1586,0,67,62,3,0 
